"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
1,,,,,"20 turas",,
2,"2020-11-14, 15:00","Žalgiris","3 : 0","Sūduva","2020-11-14, 15:00	 	Žalgiris
	3 : 0	
Sūduva	LFF stadionas","Žalgiris","Sūduva"
3,"2020-10-31, 17:00","K. Žalgiris","1 : 0","Riteriai","2020-10-31, 17:00	 	K. Žalgiris
	1 : 0	
Riteriai	LFF Kauno treniruočių centro st.","K. Žalgiris","K. Žalgiris"
4,"2020-10-31, 17:00","Panevėžys","1 : 1","Banga","2020-10-31, 17:00	 	Panevėžys
	1 : 1	
Banga	„Aukštaitijos“ stadionas","Banga","Banga"
5,,,,,"19 turas",,
6,"2020-10-28, 18:30","Riteriai","1 : 1","Panevėžys","2020-10-28, 18:30	 	Riteriai
	1 : 1	
Panevėžys	LFF stadionas","Riteriai","Panevėžys"
7,"2020-10-20, 20:00","Sūduva","1 : 1","Sūduva","2020-10-20, 20:00	 	Sūduva
	1 : 1	
K. Žalgiris	Marijampolės futbolo arenos stadionas","Sūduva","K. Žalgiris"
8,"2020-10-20, 18:00","Žalgiris","0 : 4","Žalgiris","2020-10-20, 18:00	 	Banga
	0 : 4	
Žalgiris	Gargždų m. stadionas","Banga","Žalgiris"
9,,,,,"16 turas",,
10,"2020-10-10, 17:00","Banga","1 : 2","Sūduva","2020-10-10, 17:00	 	Banga
	1 : 2	
Sūduva	Gargždų m. stadionas","Banga","Sūduva"
11,,,,,"18 turas",,
12,"2020-10-03, 17:00","Panevėžys","1 : 1","Sūduva","2020-10-03, 17:00	 	Panevėžys
	1 : 1	
Sūduva	„Aukštaitijos“ stadionas","Panevėžys","Sūduva"
13,"2020-10-03, 15:00","Žalgiris","0 : 1","Žalgiris","2020-10-03, 15:00	 	K. Žalgiris
	0 : 1	
Žalgiris	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","K. Žalgiris"
14,"2020-10-02, 19:00","Riteriai","4 : 0","Banga","2020-10-02, 19:00	 	Riteriai
	4 : 0	
Banga	LFF stadionas","Banga","Banga"
15,,,,,"17 turas",,
16,"2020-09-27, 19:00","Sūduva","7 : 1","Sūduva","2020-09-27, 19:00	 	Sūduva
	7 : 1	
Riteriai	Marijampolės futbolo arenos stadionas","Sūduva","Riteriai"
17,"2020-09-27, 17:00","Žalgiris","3 : 2","Panevėžys","2020-09-27, 17:00	 	Žalgiris
	3 : 2	
Panevėžys	LFF stadionas","Žalgiris","Panevėžys"
18,"2020-09-27, 15:00","Banga","1 : 2","K. Žalgiris","2020-09-27, 15:00	 	Banga
	1 : 2	
K. Žalgiris	Gargždų m. stadionas","Banga","K. Žalgiris"
19,,,,,"16 turas",,
20,"2020-08-20, 20:00","Žalgiris","2 : 2","Žalgiris","2020-08-20, 20:00	 	Riteriai
	2 : 2	
Žalgiris	LFF stadionas","Riteriai","Žalgiris"
